serial,lux,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm
209131924656,0.601799753277543,104608.532309473,41982.2405828864,48827.0884194884,41240.6246066592,34844.0335703117,36650.2798467765,33404.2055427966,32806.142629699,62680.7800108826,34091.4478699,74150.4080749629,45150.7064638855,83592.3436967298,100920.118552577
209233A3464B,0.630578711290702,79584.5304628934,40662.2984663889,46825.4810681305,40376.8173886861,32542.3719607373,34545.818096389,31466.3925140709,31295.5295791949,63944.6058295367,32933.48748491,73754.0584549631,42324.5817671892,83095.3618673794,105204.463208111
209433A3464B,0.661792584803751,98591.832411935,41793.6774233868,46067.2964653434,42820.1578052386,34260.1312150804,34959.715005745,32703.9873895596,33298.0856954882,62562.4908948509,35267.6438515039,74744.9325049626,46563.7688122336,84486.9109895604,100920.118552577
205431BA4656,0.598509168,91344.4439,39542.84902,45315.17734,39527.81829,32044.21208,33865.92788,31622.87537,31476.40562,62202.99871,32410.64688,77718.49834,43007.08127,83035.72405,103808.0842
206A31924656,0.598509168,91344.4439,39542.84902,45315.17734,39527.81829,32044.21208,33865.92788,31622.87537,31476.40562,62202.99871,32410.64688,77718.49834,43007.08127,83035.72405,103808.0842
206A31BA4656,0.598509168,91344.4439,39542.84902,45315.17734,39527.81829,32044.21208,33865.92788,31622.87537,31476.40562,62202.99871,32410.64688,77718.49834,43007.08127,83035.72405,103808.0842
208931924656,0.598509168,91344.4439,39542.84902,45315.17734,39527.81829,32044.21208,33865.92788,31622.87537,31476.40562,62202.99871,32410.64688,77718.49834,43007.08127,83035.72405,103808.0842
207E31924656,0.604139374984855,26960.110041265485,10910.273081924572,12677.5147928994,11428.57142857143,9216.21621621623,9603.448275862058,8333.333333333343,8510,16481.012658227857,9148.148148148142,19463.087248322143,11666.666666666657,21683.16831683169,24963.50364963503
208F31924656,0.590231456519869,97111.416781293,39830.9492847854,44689.349112426,40745.3416149068,32310.8108108108,33821.8390804598,33795.6989247312,34025,60443.0379746835,36305.5555555556,70570.4697986577,43866.6666666667,75346.5346534654,90510.9489051095
Unknown,0.598509168,91344.4439,39542.84902,45315.17734,39527.81829,32044.21208,33865.92788,31622.87537,31476.40562,62202.99871,32410.64688,77718.49834,43007.08127,83035.72405,103808.0842
